"year","scenario","variable","iter","value"
1986,"F.msy","fbar","1",0.211158007294972
1987,"F.msy","fbar","1",0.248517058157315
1988,"F.msy","fbar","1",0.26925042228766
1989,"F.msy","fbar","1",0.296541817029513
1990,"F.msy","fbar","1",0.246062681769274
1991,"F.msy","fbar","1",0.210937970802337
1992,"F.msy","fbar","1",0.150182140200628
1993,"F.msy","fbar","1",0.169210048856101
1994,"F.msy","fbar","1",0.148531700341622
1995,"F.msy","fbar","1",0.167622141408606
1996,"F.msy","fbar","1",0.229781355111393
1997,"F.msy","fbar","1",0.240396621191756
1998,"F.msy","fbar","1",0.28843964536043
1999,"F.msy","fbar","1",0.308538776089787
2000,"F.msy","fbar","1",0.40799801298956
2001,"F.msy","fbar","1",0.440369174945314
2002,"F.msy","fbar","1",0.44460335525547
2003,"F.msy","fbar","1",0.388173829405074
2004,"F.msy","fbar","1",0.406829620504929
2005,"F.msy","fbar","1",0.351361139476734
2006,"F.msy","fbar","1",0.338067739334404
2007,"F.msy","fbar","1",0.333980211037222
2008,"F.msy","fbar","1",0.362678833231753
2009,"F.msy","fbar","1",0.571564351554288
2010,"F.msy","fbar","1",0.506775293287497
2011,"F.msy","fbar","1",0.907552882954893
2012,"F.msy","fbar","1",1.0108916004385
2013,"F.msy","fbar","1",1.17261765160721
2014,"F.msy","fbar","1",1.6916523680244
2015,"F.msy","fbar","1",1.42753062841099
2016,"F.msy","fbar","1",1.37907351080522
2017,"F.msy","fbar","1",1.61571449167521
2018,"F.msy","fbar","1",0.468298838846336
2019,"F.msy","fbar","1",0.342887299087133
2020,"F.msy","fbar","1",0.252021618414046
2021,"F.msy","fbar","1",0.244512261968786
2022,"F.msy","fbar","1",0.24859258664492
2023,"F.msy","fbar","1",0.288961706762364
2024,"F.msy","fbar","1",0.345595618905229
2025,"F.msy","fbar","1",0.435683119813405
2026,"F.msy","fbar","1",0.525689730349767
2027,"F.msy","fbar","1",0.610331678518307
2028,"F.msy","fbar","1",0.679888160662584
2029,"F.msy","fbar","1",0.677089745798395
2030,"F.msy","fbar","1",0.655843677495921
2031,"F.msy","fbar","1",0.604449888609309
2032,"F.msy","fbar","1",0.595719085392686
2033,"F.msy","fbar","1",0.570954360681828
2034,"F.msy","fbar","1",0.585464774003215
2035,"F.msy","fbar","1",0.575086885474445
1975,"F.low","ssb","1",551906.214637453
1976,"F.low","ssb","1",594705.773817566
1977,"F.low","ssb","1",615601.482745018
1978,"F.low","ssb","1",568344.502742609
1979,"F.low","ssb","1",577306.977943525
1980,"F.low","ssb","1",614257.347045892
1981,"F.low","ssb","1",722081.993900675
1982,"F.low","ssb","1",710375.141487498
1983,"F.low","ssb","1",697935.827563259
1984,"F.low","ssb","1",684056.311560085
1985,"F.low","ssb","1",577765.324066635
1986,"F.low","ssb","1",517361.612339101
1987,"F.low","ssb","1",465221.771129598
1988,"F.low","ssb","1",468655.265326118
1989,"F.low","ssb","1",479848.68889487
1990,"F.low","ssb","1",463726.52945863
1991,"F.low","ssb","1",433098.041869577
1992,"F.low","ssb","1",400370.467991804
1993,"F.low","ssb","1",405767.63959625
1994,"F.low","ssb","1",364120.799531209
1995,"F.low","ssb","1",313245.212874014
1996,"F.low","ssb","1",276646.552396922
1997,"F.low","ssb","1",244492.681502032
1998,"F.low","ssb","1",189732.070854806
1999,"F.low","ssb","1",169476.917645364
2000,"F.low","ssb","1",132945.636080592
2001,"F.low","ssb","1",124708.773241012
2002,"F.low","ssb","1",132638.981716547
2003,"F.low","ssb","1",137002.365105635
2004,"F.low","ssb","1",144435.262500118
2005,"F.low","ssb","1",130041.488930992
2006,"F.low","ssb","1",138925.110708414
2007,"F.low","ssb","1",140018.260463428
2008,"F.low","ssb","1",153557.631156927
2009,"F.low","ssb","1",149803.896843249
2010,"F.low","ssb","1",149332.34291046
2011,"F.low","ssb","1",160079.270981157
2012,"F.low","ssb","1",162040.410929903
2013,"F.low","ssb","1",182174.648149831
2014,"F.low","ssb","1",199817.747854395
2015,"F.low","ssb","1",173379.688708811
2016,"F.low","ssb","1",163354.807719713
2017,"F.low","ssb","1",175360.156252189
2018,"F.low","ssb","1",187097.184769386
2019,"F.low","ssb","1",257483.756262527
2020,"F.low","ssb","1",352602.483419898
2021,"F.low","ssb","1",471286.798307037
2022,"F.low","ssb","1",547370.483567325
2023,"F.low","ssb","1",584927.563353945
2024,"F.low","ssb","1",605608.224125548
2025,"F.low","ssb","1",610257.89276734
2026,"F.low","ssb","1",607940.648738202
2027,"F.low","ssb","1",600063.866915235
2028,"F.low","ssb","1",584466.351303566
2029,"F.low","ssb","1",574747.189900577
2030,"F.low","ssb","1",556699.72723176
2031,"F.low","ssb","1",538295.738280271
2032,"F.low","ssb","1",528793.137891185
2033,"F.low","ssb","1",519604.975756823
2034,"F.low","ssb","1",517054.474385322
2035,"F.low","ssb","1",512457.404282479
1975,"F.low","catch","1",33887.17076
1976,"F.low","catch","1",46985.34951
1977,"F.low","catch","1",54576.48329
1978,"F.low","catch","1",44820.34257
1979,"F.low","catch","1",41362.20957
1980,"F.low","catch","1",48593.03983
1981,"F.low","catch","1",93559.14384
1982,"F.low","catch","1",84687.75543
1983,"F.low","catch","1",83926.9287
1984,"F.low","catch","1",92723.70925
1985,"F.low","catch","1",75520.79521
1986,"F.low","catch","1",79547.10662
1987,"F.low","catch","1",73428.22243
1988,"F.low","catch","1",68191.01985
1989,"F.low","catch","1",71097.69552
1990,"F.low","catch","1",61881.51723
1991,"F.low","catch","1",54138.19362
1992,"F.low","catch","1",40049.74245
1993,"F.low","catch","1",45885.19472
1994,"F.low","catch","1",39142.88424
1995,"F.low","catch","1",41128.88723
1996,"F.low","catch","1",44309.77398
1997,"F.low","catch","1",38522.33936
1998,"F.low","catch","1",36138.84419
1999,"F.low","catch","1",27949.14912
2000,"F.low","catch","1",26107.09943
2001,"F.low","catch","1",24138.39253
2002,"F.low","catch","1",24100.78598
2003,"F.low","catch","1",21620.4976
2004,"F.low","catch","1",26929.89563
2005,"F.low","catch","1",20906.72463
2006,"F.low","catch","1",20475.45238
2007,"F.low","catch","1",21984.36186
2008,"F.low","catch","1",27583.67457
2009,"F.low","catch","1",34163.69678
2010,"F.low","catch","1",34213.8274
2011,"F.low","catch","1",54816.06731
2012,"F.low","catch","1",58732.69835
2013,"F.low","catch","1",71643.24716
2014,"F.low","catch","1",82538.66228
2015,"F.low","catch","1",78012.42535
2016,"F.low","catch","1",79405.17798
2017,"F.low","catch","1",82538.66228
2018,"F.low","catch","1",7727.97988712401
2019,"F.low","catch","1",8537.70677071863
2020,"F.low","catch","1",11735.7158220551
2021,"F.low","catch","1",15799.9482931729
2022,"F.low","catch","1",20045.0938830872
2023,"F.low","catch","1",25192.5700636078
2024,"F.low","catch","1",30234.4983623983
2025,"F.low","catch","1",35424.1954451756
2026,"F.low","catch","1",39971.8827456644
2027,"F.low","catch","1",42047.4557104058
2028,"F.low","catch","1",43029.7204081596
2029,"F.low","catch","1",43503.4403975863
2030,"F.low","catch","1",43608.6963865099
2031,"F.low","catch","1",43422.1200945973
2032,"F.low","catch","1",42161.213019474
2033,"F.low","catch","1",42742.3846648764
2034,"F.low","catch","1",42480.9274376726
2035,"F.low","catch","1",41825.9606266165
1975,"F.low","fbar","1",0.089066749692643
1976,"F.low","fbar","1",0.11247533597444
1977,"F.low","fbar","1",0.125970218638729
1978,"F.low","fbar","1",0.110208989179189
1979,"F.low","fbar","1",0.0991079806199135
1980,"F.low","fbar","1",0.116021574889724
1981,"F.low","fbar","1",0.219142575450221
1982,"F.low","fbar","1",0.202425996756105
1983,"F.low","fbar","1",0.194917589634262
1984,"F.low","fbar","1",0.20532105221692
1985,"F.low","fbar","1",0.178654776108418
1986,"F.low","fbar","1",0.211158007294972
1987,"F.low","fbar","1",0.248517058157315
1988,"F.low","fbar","1",0.26925042228766
1989,"F.low","fbar","1",0.296541817029513
1990,"F.low","fbar","1",0.246062681769274
1991,"F.low","fbar","1",0.210937970802337
1992,"F.low","fbar","1",0.150182140200628
1993,"F.low","fbar","1",0.169210048856101
1994,"F.low","fbar","1",0.148531700341622
1995,"F.low","fbar","1",0.167622141408606
1996,"F.low","fbar","1",0.229781355111393
1997,"F.low","fbar","1",0.240396621191756
1998,"F.low","fbar","1",0.28843964536043
1999,"F.low","fbar","1",0.308538776089787
2000,"F.low","fbar","1",0.40799801298956
2001,"F.low","fbar","1",0.440369174945314
2002,"F.low","fbar","1",0.44460335525547
2003,"F.low","fbar","1",0.388173829405074
2004,"F.low","fbar","1",0.406829620504929
2005,"F.low","fbar","1",0.351361139476734
2006,"F.low","fbar","1",0.338067739334404
2007,"F.low","fbar","1",0.333980211037222
2008,"F.low","fbar","1",0.362678833231753
2009,"F.low","fbar","1",0.571564351554288
2010,"F.low","fbar","1",0.506775293287497
2011,"F.low","fbar","1",0.907552882954893
2012,"F.low","fbar","1",1.0108916004385
2013,"F.low","fbar","1",1.17261765160721
2014,"F.low","fbar","1",1.6916523680244
2015,"F.low","fbar","1",1.42753062841099
2016,"F.low","fbar","1",1.37907351080522
2017,"F.low","fbar","1",1.61571449167521
2018,"F.low","fbar","1",0.100692406768961
2019,"F.low","fbar","1",0.063958887518786
2020,"F.low","fbar","1",0.0590306529182617
2021,"F.low","fbar","1",0.0600110099623071
2022,"F.low","fbar","1",0.0611071186999313
2023,"F.low","fbar","1",0.0681671142460653
2024,"F.low","fbar","1",0.0778030537122996
2025,"F.low","fbar","1",0.0877945302697676
2026,"F.low","fbar","1",0.0974197641505786
2027,"F.low","fbar","1",0.105103527334188
2028,"F.low","fbar","1",0.110787780726255
2029,"F.low","fbar","1",0.117332358052877
2030,"F.low","fbar","1",0.122471908735146
2031,"F.low","fbar","1",0.124535809938799
2032,"F.low","fbar","1",0.125909082830031
2033,"F.low","fbar","1",0.126569532210782
2034,"F.low","fbar","1",0.126406050103014
2035,"F.low","fbar","1",0.127686173383571
1975,"F.sqEMERGENCY4","ssb","1",551906.214637453
1976,"F.sqEMERGENCY4","ssb","1",594705.773817566
1977,"F.sqEMERGENCY4","ssb","1",615601.482745018
1978,"F.sqEMERGENCY4","ssb","1",568344.502742609
1979,"F.sqEMERGENCY4","ssb","1",577306.977943525
1980,"F.sqEMERGENCY4","ssb","1",614257.347045892
1981,"F.sqEMERGENCY4","ssb","1",722081.993900675
1982,"F.sqEMERGENCY4","ssb","1",710375.141487498
1983,"F.sqEMERGENCY4","ssb","1",697935.827563259
1984,"F.sqEMERGENCY4","ssb","1",684056.311560085
1985,"F.sqEMERGENCY4","ssb","1",577765.324066635
1986,"F.sqEMERGENCY4","ssb","1",517361.612339101
1987,"F.sqEMERGENCY4","ssb","1",465221.771129598
1988,"F.sqEMERGENCY4","ssb","1",468655.265326118
1989,"F.sqEMERGENCY4","ssb","1",479848.68889487
1990,"F.sqEMERGENCY4","ssb","1",463726.52945863
1991,"F.sqEMERGENCY4","ssb","1",433098.041869577
1992,"F.sqEMERGENCY4","ssb","1",400370.467991804
1993,"F.sqEMERGENCY4","ssb","1",405767.63959625
1994,"F.sqEMERGENCY4","ssb","1",364120.799531209
1995,"F.sqEMERGENCY4","ssb","1",313245.212874014
1996,"F.sqEMERGENCY4","ssb","1",276646.552396922
1997,"F.sqEMERGENCY4","ssb","1",244492.681502032
1998,"F.sqEMERGENCY4","ssb","1",189732.070854806
1999,"F.sqEMERGENCY4","ssb","1",169476.917645364
2000,"F.sqEMERGENCY4","ssb","1",132945.636080592
2001,"F.sqEMERGENCY4","ssb","1",124708.773241012
2002,"F.sqEMERGENCY4","ssb","1",132638.981716547
2003,"F.sqEMERGENCY4","ssb","1",137002.365105635
2004,"F.sqEMERGENCY4","ssb","1",144435.262500118
2005,"F.sqEMERGENCY4","ssb","1",130041.488930992
2006,"F.sqEMERGENCY4","ssb","1",138925.110708414
2007,"F.sqEMERGENCY4","ssb","1",140018.260463428
2008,"F.sqEMERGENCY4","ssb","1",153557.631156927
2009,"F.sqEMERGENCY4","ssb","1",149803.896843249
2010,"F.sqEMERGENCY4","ssb","1",149332.34291046
2011,"F.sqEMERGENCY4","ssb","1",160079.270981157
2012,"F.sqEMERGENCY4","ssb","1",162040.410929903
2013,"F.sqEMERGENCY4","ssb","1",182174.648149831
2014,"F.sqEMERGENCY4","ssb","1",199817.747854395
2015,"F.sqEMERGENCY4","ssb","1",173379.688708811
2016,"F.sqEMERGENCY4","ssb","1",163354.807719713
2017,"F.sqEMERGENCY4","ssb","1",175360.156252189
2018,"F.sqEMERGENCY4","ssb","1",187267.275627926
2019,"F.sqEMERGENCY4","ssb","1",202675.961074787
2020,"F.sqEMERGENCY4","ssb","1",213924.004731795
2021,"F.sqEMERGENCY4","ssb","1",229579.470980845
2022,"F.sqEMERGENCY4","ssb","1",238507.993333061
2023,"F.sqEMERGENCY4","ssb","1",261745.879029724
2024,"F.sqEMERGENCY4","ssb","1",281776.515274217
2025,"F.sqEMERGENCY4","ssb","1",281089.493689418
2026,"F.sqEMERGENCY4","ssb","1",257775.374687482
2027,"F.sqEMERGENCY4","ssb","1",235681.836397742
2028,"F.sqEMERGENCY4","ssb","1",208139.623282588
2029,"F.sqEMERGENCY4","ssb","1",180660.525300682
2030,"F.sqEMERGENCY4","ssb","1",144180.335269209
2031,"F.sqEMERGENCY4","ssb","1",113076.178467519
2032,"F.sqEMERGENCY4","ssb","1",75284.2668956482
2033,"F.sqEMERGENCY4","ssb","1",44089.1731819528
2034,"F.sqEMERGENCY4","ssb","1",23532.3074313405
2035,"F.sqEMERGENCY4","ssb","1",11091.9615436963
1975,"F.sqEMERGENCY4","catch","1",33887.17076
1976,"F.sqEMERGENCY4","catch","1",46985.34951
1977,"F.sqEMERGENCY4","catch","1",54576.48329
1978,"F.sqEMERGENCY4","catch","1",44820.34257
1979,"F.sqEMERGENCY4","catch","1",41362.20957
1980,"F.sqEMERGENCY4","catch","1",48593.03983
1981,"F.sqEMERGENCY4","catch","1",93559.14384
1982,"F.sqEMERGENCY4","catch","1",84687.75543
1983,"F.sqEMERGENCY4","catch","1",83926.9287
1984,"F.sqEMERGENCY4","catch","1",92723.70925
1985,"F.sqEMERGENCY4","catch","1",75520.79521
