"year","scenario","variable","iter","value"
2016,"F.low","ssb","4",55835.778211111
2017,"F.low","ssb","4",66141.352550799
2018,"F.low","ssb","4",153941.909249976
2019,"F.low","ssb","4",207798.511461397
2020,"F.low","ssb","4",243275.599855076
2021,"F.low","ssb","4",248705.021203746
2022,"F.low","ssb","4",243982.779414867
2023,"F.low","ssb","4",236932.179670191
2024,"F.low","ssb","4",239123.570965959
2025,"F.low","ssb","4",242177.771223533
1975,"F.low","ssb","5",220895.713111262
1976,"F.low","ssb","5",302224.832186308
1977,"F.low","ssb","5",318898.993485911
1978,"F.low","ssb","5",321455.437893855
1979,"F.low","ssb","5",285289.374962154
1980,"F.low","ssb","5",238462.002396997
1981,"F.low","ssb","5",195576.41018049
1982,"F.low","ssb","5",159018.0618139
1983,"F.low","ssb","5",127981.617862224
1984,"F.low","ssb","5",91166.223840771
1985,"F.low","ssb","5",58319.0966591305
1986,"F.low","ssb","5",59918.1002123244
1987,"F.low","ssb","5",51590.639309332
1988,"F.low","ssb","5",63415.1569977949
1989,"F.low","ssb","5",70170.1126417728
1990,"F.low","ssb","5",72281.5451130393
1991,"F.low","ssb","5",67654.6654249284
1992,"F.low","ssb","5",71550.3849889531
1993,"F.low","ssb","5",77541.7990516457
1994,"F.low","ssb","5",98659.9988832339
1995,"F.low","ssb","5",127416.015692911
1996,"F.low","ssb","5",126004.942904239
1997,"F.low","ssb","5",124475.197886497
1998,"F.low","ssb","5",145107.010634933
1999,"F.low","ssb","5",134666.957039151
2000,"F.low","ssb","5",86482.4288869493
2001,"F.low","ssb","5",92886.423522013
2002,"F.low","ssb","5",98201.1583782537
2003,"F.low","ssb","5",123835.949480639
2004,"F.low","ssb","5",163718.626868303
2005,"F.low","ssb","5",202663.779581555
2006,"F.low","ssb","5",176464.72155875
2007,"F.low","ssb","5",119887.055820089
2008,"F.low","ssb","5",125755.773855536
2009,"F.low","ssb","5",126868.405158942
2010,"F.low","ssb","5",113924.300528397
2011,"F.low","ssb","5",104791.037647944
2012,"F.low","ssb","5",70751.7822069246
2013,"F.low","ssb","5",91431.0201837721
2014,"F.low","ssb","5",106195.678014567
2015,"F.low","ssb","5",88630.7918530764
2016,"F.low","ssb","5",60919.2194944486
2017,"F.low","ssb","5",85648.2125928318
2018,"F.low","ssb","5",87412.917616285
2019,"F.low","ssb","5",72105.6645666695
2020,"F.low","ssb","5",56766.5668865647
2021,"F.low","ssb","5",45331.219569515
2022,"F.low","ssb","5",35251.802499715
2023,"F.low","ssb","5",32783.01845947
2024,"F.low","ssb","5",30700.0934596738
2025,"F.low","ssb","5",35690.5085735364
1975,"F.low","catch","1",22048.73007
1976,"F.low","catch","1",28000.72942
1977,"F.low","catch","1",35565.00354
1978,"F.low","catch","1",54624.17894
1979,"F.low","catch","1",50378.17164
1980,"F.low","catch","1",61323.02223
1981,"F.low","catch","1",33421.74113
1982,"F.low","catch","1",36425.17196
1983,"F.low","catch","1",27200.90601
1984,"F.low","catch","1",28211.43372
1985,"F.low","catch","1",45198.39548
1986,"F.low","catch","1",16446.271
1987,"F.low","catch","1",4848.318151
1988,"F.low","catch","1",11623.87497
1989,"F.low","catch","1",14286.63534
1990,"F.low","catch","1",14363.17508
1991,"F.low","catch","1",21371.01332
1992,"F.low","catch","1",14557.37862
1993,"F.low","catch","1",14561.88131
1994,"F.low","catch","1",21424.41375
1995,"F.low","catch","1",35664.7971
1996,"F.low","catch","1",30303.80881
1997,"F.low","catch","1",39040.09087
1998,"F.low","catch","1",32294.13963
1999,"F.low","catch","1",29382.57464
2000,"F.low","catch","1",37952.39043
2001,"F.low","catch","1",33983.79591
2002,"F.low","catch","1",26721.01213
2003,"F.low","catch","1",31172.07829
2004,"F.low","catch","1",38858.99643
2005,"F.low","catch","1",57300.94046
2006,"F.low","catch","1",60802.71836
2007,"F.low","catch","1",65316.92518
2008,"F.low","catch","1",49100.95557
2009,"F.low","catch","1",52268.52301
2010,"F.low","catch","1",53709.64951
2011,"F.low","catch","1",45263.0135
2012,"F.low","catch","1",36044.85372
2013,"F.low","catch","1",28043.03506
2014,"F.low","catch","1",31943.05776
2015,"F.low","catch","1",39736.66714
2016,"F.low","catch","1",34251.71084
2017,"F.low","catch","1",18522.6594426508
2018,"F.low","catch","1",2200.84909404493
2019,"F.low","catch","1",2890.4258687096
2020,"F.low","catch","1",2492.29535154014
2021,"F.low","catch","1",5557.86609641162
2022,"F.low","catch","1",4851.98949072189
2023,"F.low","catch","1",3458.11251398826
2024,"F.low","catch","1",2445.59861055309
2025,"F.low","catch","1",2097.75633229666
1975,"F.low","catch","2",22048.73007
1976,"F.low","catch","2",28000.72942
1977,"F.low","catch","2",35565.00354
1978,"F.low","catch","2",54624.17894
1979,"F.low","catch","2",50378.17164
1980,"F.low","catch","2",61323.02223
1981,"F.low","catch","2",33421.74113
1982,"F.low","catch","2",36425.17196
1983,"F.low","catch","2",27200.90601
1984,"F.low","catch","2",28211.43372
1985,"F.low","catch","2",45198.39548
1986,"F.low","catch","2",16446.271
1987,"F.low","catch","2",4848.318151
1988,"F.low","catch","2",11623.87497
1989,"F.low","catch","2",14286.63534
1990,"F.low","catch","2",14363.17508
1991,"F.low","catch","2",21371.01332
1992,"F.low","catch","2",14557.37862
1993,"F.low","catch","2",14561.88131
1994,"F.low","catch","2",21424.41375
1995,"F.low","catch","2",35664.7971
1996,"F.low","catch","2",30303.80881
1997,"F.low","catch","2",39040.09087
1998,"F.low","catch","2",32294.13963
1999,"F.low","catch","2",29382.57464
2000,"F.low","catch","2",37952.39043
2001,"F.low","catch","2",33983.79591
2002,"F.low","catch","2",26721.01213
2003,"F.low","catch","2",31172.07829
2004,"F.low","catch","2",38858.99643
2005,"F.low","catch","2",57300.94046
2006,"F.low","catch","2",60802.71836
2007,"F.low","catch","2",65316.92518
2008,"F.low","catch","2",49100.95557
2009,"F.low","catch","2",52268.52301
2010,"F.low","catch","2",53709.64951
2011,"F.low","catch","2",45263.0135
2012,"F.low","catch","2",36044.85372
2013,"F.low","catch","2",28043.03506
2014,"F.low","catch","2",31943.05776
2015,"F.low","catch","2",39736.66714
2016,"F.low","catch","2",34251.71084
2017,"F.low","catch","2",21758.511442527
2018,"F.low","catch","2",2191.59158607885
2019,"F.low","catch","2",2882.48832788239
2020,"F.low","catch","2",2494.72788335803
2021,"F.low","catch","2",5566.29514481816
2022,"F.low","catch","2",4861.17678251509
2023,"F.low","catch","2",3464.52535857543
2024,"F.low","catch","2",2438.42839247563
2025,"F.low","catch","2",2094.59131663717
1975,"F.low","catch","3",22048.73007
1976,"F.low","catch","3",28000.72942
1977,"F.low","catch","3",35565.00354
1978,"F.low","catch","3",54624.17894
1979,"F.low","catch","3",50378.17164
1980,"F.low","catch","3",61323.02223
1981,"F.low","catch","3",33421.74113
1982,"F.low","catch","3",36425.17196
1983,"F.low","catch","3",27200.90601
1984,"F.low","catch","3",28211.43372
1985,"F.low","catch","3",45198.39548
1986,"F.low","catch","3",16446.271
1987,"F.low","catch","3",4848.318151
1988,"F.low","catch","3",11623.87497
1989,"F.low","catch","3",14286.63534
1990,"F.low","catch","3",14363.17508
1991,"F.low","catch","3",21371.01332
1992,"F.low","catch","3",14557.37862
1993,"F.low","catch","3",14561.88131
1994,"F.low","catch","3",21424.41375
1995,"F.low","catch","3",35664.7971
1996,"F.low","catch","3",30303.80881
1997,"F.low","catch","3",39040.09087
1998,"F.low","catch","3",32294.13963
1999,"F.low","catch","3",29382.57464
2000,"F.low","catch","3",37952.39043
2001,"F.low","catch","3",33983.79591
2002,"F.low","catch","3",26721.01213
2003,"F.low","catch","3",31172.07829
2004,"F.low","catch","3",38858.99643
2005,"F.low","catch","3",57300.94046
2006,"F.low","catch","3",60802.71836
2007,"F.low","catch","3",65316.92518
2008,"F.low","catch","3",49100.95557
2009,"F.low","catch","3",52268.52301
2010,"F.low","catch","3",53709.64951
2011,"F.low","catch","3",45263.0135
2012,"F.low","catch","3",36044.85372
2013,"F.low","catch","3",28043.03506
2014,"F.low","catch","3",31943.05776
2015,"F.low","catch","3",39736.66714
2016,"F.low","catch","3",34251.71084
2017,"F.low","catch","3",29988.3796484355
2018,"F.low","catch","3",2193.75464773646
2019,"F.low","catch","3",2862.95177625003
2020,"F.low","catch","3",2477.12774123136
2021,"F.low","catch","3",5526.28984732413
2022,"F.low","catch","3",4827.96996398786
2023,"F.low","catch","3",3440.29047465495
2024,"F.low","catch","3",2434.00473640456
2025,"F.low","catch","3",2090.68989547257
1975,"F.low","catch","4",22048.73007
1976,"F.low","catch","4",28000.72942
1977,"F.low","catch","4",35565.00354
1978,"F.low","catch","4",54624.17894
1979,"F.low","catch","4",50378.17164
