"scenario","time","var","val"
"GFCM.HCR.modif","Short Term","Fbar",0.612362630937849
"GFCM.HCR.modif","Medium Term","Fbar",0.838949895135165
"GFCM.HCR.modif","Long Term","Fbar",0.674554716231822
"GFCM.HCR.modif","Short Term","risk",0.072
"GFCM.HCR.modif","Medium Term","risk",0.264
"GFCM.HCR.modif","Long Term","risk",0.392
"Bpa.Fmsy2020","Short Term","ssb",132280.602079897
"Bpa.Fmsy2020","Medium Term","ssb",146353.33818926
"Bpa.Fmsy2020","Long Term","ssb",119041.634886733
"Bpa.Fmsy2020","Short Term","catch",13472.3886482727
"Bpa.Fmsy2020","Medium Term","catch",38298.3451873784
"Bpa.Fmsy2020","Long Term","catch",29461.7909137369
"Bpa.Fmsy2020","Short Term","Fbar",0.563825310746664
"Bpa.Fmsy2020","Medium Term","Fbar",0.868770842834369
"Bpa.Fmsy2020","Long Term","Fbar",0.676046437780543
"Bpa.Fmsy2020","Short Term","risk",0.072
"Bpa.Fmsy2020","Medium Term","risk",0.256
"Bpa.Fmsy2020","Long Term","risk",0.372
