"year","scenario","variable","iter","value"
2021,"F.msy","catch","2",57417.1995402762
2022,"F.msy","catch","2",60071.4412247092
2023,"F.msy","catch","2",64628.7567617588
2024,"F.msy","catch","2",74041.8494469245
2025,"F.msy","catch","2",78156.9674306627
2026,"F.msy","catch","2",80763.090943279
2027,"F.msy","catch","2",80415.7095002966
1975,"F.msy","fbar","1",0.0887792801142769
1976,"F.msy","fbar","1",0.112259617882781
1977,"F.msy","fbar","1",0.125898869245961
1978,"F.msy","fbar","1",0.110091242396679
1979,"F.msy","fbar","1",0.0989129446186778
1980,"F.msy","fbar","1",0.115769962730955
1981,"F.msy","fbar","1",0.219285178436158
1982,"F.msy","fbar","1",0.2025015870981
1983,"F.msy","fbar","1",0.194917034903945
1984,"F.msy","fbar","1",0.205399842389221
1985,"F.msy","fbar","1",0.178609547814631
1986,"F.msy","fbar","1",0.211200938086808
1987,"F.msy","fbar","1",0.248849324230207
1988,"F.msy","fbar","1",0.269782890181719
1989,"F.msy","fbar","1",0.297238156152903
1990,"F.msy","fbar","1",0.246445509734722
1991,"F.msy","fbar","1",0.21103102156918
1992,"F.msy","fbar","1",0.149876455824821
1993,"F.msy","fbar","1",0.168930081883429
1994,"F.msy","fbar","1",0.148188859396745
1995,"F.msy","fbar","1",0.167202665939654
1996,"F.msy","fbar","1",0.229361109736889
1997,"F.msy","fbar","1",0.240129416399604
1998,"F.msy","fbar","1",0.288590694061344
1999,"F.msy","fbar","1",0.308739174852886
2000,"F.msy","fbar","1",0.408623621929108
2001,"F.msy","fbar","1",0.441595094000612
2002,"F.msy","fbar","1",0.446819497858598
2003,"F.msy","fbar","1",0.391280586684764
2004,"F.msy","fbar","1",0.411014815096156
2005,"F.msy","fbar","1",0.352365686907855
2006,"F.msy","fbar","1",0.336659449575112
2007,"F.msy","fbar","1",0.329448682147408
2008,"F.msy","fbar","1",0.359953083332975
2009,"F.msy","fbar","1",0.567037983325845
2010,"F.msy","fbar","1",0.496540455025224
2011,"F.msy","fbar","1",0.901440036929555
2012,"F.msy","fbar","1",1.01524333772645
2013,"F.msy","fbar","1",1.17297878514348
2014,"F.msy","fbar","1",1.70952075887791
2015,"F.msy","fbar","1",1.47685578770545
2016,"F.msy","fbar","1",1.57400465522185
