"year","scenario","variable","iter","value"
2017,"F.msy","fbar","1",2.35791232662086
2018,"F.msy","fbar","1",0.639814494222607
2019,"F.msy","fbar","1",0.40305726536019
2020,"F.msy","fbar","1",0.267521408691369
2021,"F.msy","fbar","1",0.344135112935181
2022,"F.msy","fbar","1",0.552857047692951
2023,"F.msy","fbar","1",0.849818892062832
2024,"F.msy","fbar","1",1.02564611304996
2025,"F.msy","fbar","1",1.02076082637935
2026,"F.msy","fbar","1",0.9450711703758
2027,"F.msy","fbar","1",0.875704281519019
2028,"F.msy","fbar","1",0.81040521456877
2029,"F.msy","fbar","1",0.809014187649305
2030,"F.msy","fbar","1",0.80345058242868
2031,"F.msy","fbar","1",0.865649238160095
2032,"F.msy","fbar","1",0.849832884872081
2033,"F.msy","fbar","1",0.854238149345163
2034,"F.msy","fbar","1",0.88398017620142
2035,"F.msy","fbar","1",0.900574151261244
1975,"F.low","ssb","1",220584.551944746
1976,"F.low","ssb","1",285108.733436692
1977,"F.low","ssb","1",309208.003887672
1978,"F.low","ssb","1",304280.36763554
1979,"F.low","ssb","1",286285.842857629
1980,"F.low","ssb","1",233455.640763176
1981,"F.low","ssb","1",192592.495456842
1982,"F.low","ssb","1",154616.480502164
1983,"F.low","ssb","1",121674.464013433
1984,"F.low","ssb","1",93989.8377750186
1985,"F.low","ssb","1",56731.4625595489
1986,"F.low","ssb","1",60265.7082271169
1987,"F.low","ssb","1",51783.9739055998
1988,"F.low","ssb","1",58051.1888803802
1989,"F.low","ssb","1",65836.2681600989
1990,"F.low","ssb","1",71903.9567030902
1991,"F.low","ssb","1",66530.1781415209
1992,"F.low","ssb","1",70440.5229035325
1993,"F.low","ssb","1",74210.3116932318
1994,"F.low","ssb","1",90205.4327680789
1995,"F.low","ssb","1",114942.035545393
1996,"F.low","ssb","1",115969.440453971
1997,"F.low","ssb","1",112718.869674678
1998,"F.low","ssb","1",127507.70306808
1999,"F.low","ssb","1",123866.869910297
2000,"F.low","ssb","1",84442.0923577635
2001,"F.low","ssb","1",89490.9295011053
2002,"F.low","ssb","1",99426.4561367882
2003,"F.low","ssb","1",120171.546960419
2004,"F.low","ssb","1",158674.215416792
2005,"F.low","ssb","1",205792.932608302
2006,"F.low","ssb","1",185007.462871416
2007,"F.low","ssb","1",133756.310603595
2008,"F.low","ssb","1",129311.192335309
2009,"F.low","ssb","1",122981.262203566
2010,"F.low","ssb","1",110300.973440529
2011,"F.low","ssb","1",103386.551515499
2012,"F.low","ssb","1",78075.2662773431
2013,"F.low","ssb","1",91967.4262914265
2014,"F.low","ssb","1",105141.912390592
2015,"F.low","ssb","1",84732.2107877127
2016,"F.low","ssb","1",63748.0946556938
2017,"F.low","ssb","1",71530.3875567495
2018,"F.low","ssb","1",98987.4792644086
2019,"F.low","ssb","1",144477.406235365
2020,"F.low","ssb","1",172116.572649534
2021,"F.low","ssb","1",183220.901308846
2022,"F.low","ssb","1",190555.501875306
2023,"F.low","ssb","1",192697.184571355
2024,"F.low","ssb","1",191912.550571589
2025,"F.low","ssb","1",191443.364091235
2026,"F.low","ssb","1",190779.832396536
2027,"F.low","ssb","1",184796.799444614
2028,"F.low","ssb","1",183620.286077706
2029,"F.low","ssb","1",184735.148053725
2030,"F.low","ssb","1",188693.742291404
2031,"F.low","ssb","1",183816.560912976
2032,"F.low","ssb","1",179897.978477154
2033,"F.low","ssb","1",175410.168697936
2034,"F.low","ssb","1",176201.175665821
2035,"F.low","ssb","1",175043.872646434
1975,"F.low","catch","1",22048.73007
1976,"F.low","catch","1",28000.72942
1977,"F.low","catch","1",35565.00354
1978,"F.low","catch","1",54624.17894
1979,"F.low","catch","1",50378.17164
1980,"F.low","catch","1",61323.02223
1981,"F.low","catch","1",33421.74113
1982,"F.low","catch","1",36425.17196
1983,"F.low","catch","1",27200.90601
1984,"F.low","catch","1",28211.43372
1985,"F.low","catch","1",45198.39548
1986,"F.low","catch","1",16446.271
1987,"F.low","catch","1",4848.318151
1988,"F.low","catch","1",11623.87497
1989,"F.low","catch","1",14286.63534
1990,"F.low","catch","1",14363.17508
1991,"F.low","catch","1",21371.01332
1992,"F.low","catch","1",14557.37862
1993,"F.low","catch","1",14561.88131
1994,"F.low","catch","1",21424.41375
1995,"F.low","catch","1",35664.7971
1996,"F.low","catch","1",30303.80881
1997,"F.low","catch","1",39040.09087
1998,"F.low","catch","1",32294.13963
1999,"F.low","catch","1",29382.57464
2000,"F.low","catch","1",37952.39043
2001,"F.low","catch","1",33983.79591
2002,"F.low","catch","1",26721.01213
